_id,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,in_reply_to_screen_name,__v,processed,sentiment
663fa40a8a91151dd2f9db0d,Fri Nov 10 23:58:50 +0000 2023,1.72313E+18,@m_nurfatoni Anies seperti Ahmad Dahlan jamam now,0,1,0,0,in,354645457,1.72311E+18,meditegal,https://twitter.com/meditegal/status/1723128111926243816,,,,,"['nurfatoni', 'anies', 'ahmad', 'dahlan', 'jaman', 'now']",Positif
663fa40a8a91151dd2f9db0e,Fri Nov 10 23:58:28 +0000 2023,1.72313E+18,@ardibhironx Itu ide AHOK dan udah dijalankan. Anies cuma ganti nama aja.,0,4,0,0,in,1.57954E+18,1.6906E+18,AnonimousNama,https://twitter.com/AnonimousNama/status/1723128018716237841,,,,,"['ide', 'ahok', 'dijalankan', 'anies', 'ganti', 'nama-nama']",Negatif
663fa40a8a91151dd2f9db0f,Fri Nov 10 23:58:25 +0000 2023,1.72313E+18,@bagaskara645y @logikapolitikid Anies sama Prabowo klo Anies kalah mereka ke Prabowo klo Prabowo kalah mereka ke Anies kelompok mereka kaya parasit,0,1,0,0,in,1.44544E+18,1.72296E+18,RivaldiFaza,https://twitter.com/RivaldiFaza/status/1723128004816293951,,,,,"['anies', 'prabowo', 'anies', 'kalah', 'prabowo', 'prabowo', 'kalah', 'anies', 'kelompok', 'kayak', 'parasit']",Negatif
663fa40a8a91151dd2f9db10,Fri Nov 10 23:58:10 +0000 2023,1.72313E+18,pernyataan di depan para pendukungnya. Semoga hasil survei tersebut dapat menjadi motivasi bagi Anies Baswedan-Cak Imin (AMIN) untuk terus bekerja keras dan memberikan yang terbaik bagi masyarakat.,0,0,0,0,in,1.67874E+18,1.72313E+18,eva_aruna,https://twitter.com/eva_aruna/status/1723127944212881704,,,,,"['pernyataan', 'pendukungnya', 'semoga', 'hasil', 'survei', 'motivasi', 'anies', 'baswedancak', 'imin', 'amin', 'keras', 'terbaik', 'masyarakat']",Positif
663fa40a8a91151dd2f9db11,Fri Nov 10 23:57:44 +0000 2023,1.72313E+18,@BangPino__ Pemilih Anies militan tak tergiur uang bansos dan jabatan,0,3,2,15,in,354645457,1.72313E+18,meditegal,https://twitter.com/meditegal/status/1723127835404251614,,,,,"['pemilih', 'anies', 'militan', 'tergiur', 'uang', 'bansos', 'jabatan']",Negatif
663fa40a8a91151dd2f9db12,Fri Nov 10 23:57:30 +0000 2023,1.72313E+18,@musniumar Dan adik kandung Anda itu dgn embel-embel NU-nya Anda 'Arahkan' utk pilih Anies?,0,0,0,0,in,1.27834E+18,1.72295E+18,enkaeriharmat,https://twitter.com/enkaeriharmat/status/1723127776360944110,,,,,"['adik', 'kandung', 'embelembel', 'nunya', 'arahkan', 'pilih', 'anies']",Negatif
663fa40a8a91151dd2f9db13,Fri Nov 10 23:57:25 +0000 2023,1.72313E+18,"@Dennysiregar7 Sang kadrun melihat, sambil menikmati kenaikkan suara anies. Semakin brutal banteng, semakin naik suara anis.",0,0,0,0,in,1512344952,1.72286E+18,pradipta944,https://twitter.com/pradipta944/status/1723127752868671974,,,,,"['sang', 'kadrun', 'menikmati', 'kenaikkan', 'suara', 'anies', 'brutal', 'banteng', 'suara', 'anis']",Negatif
663fa40a8a91151dd2f9db14,Fri Nov 10 23:56:54 +0000 2023,1.72313E+18,@yuwantino12 @logikapolitikid @ganjarpranowo Klo Anies kalah mereka ke Prabowo klo Prabowo kalah mereka ke Anies yah ibaratnya kaya parasit hrus cri inang yg pas biar bsa di kontrol,0,0,0,0,in,1.44544E+18,1.72296E+18,RivaldiFaza,https://twitter.com/RivaldiFaza/status/1723127623927427530,,,,,"['anies', 'kalah', 'prabowo', 'prabowo', 'kalah', 'anies', 'kayak', 'parasit', 'cari', 'inang', 'pas', 'kontrol']",Negatif
663fa40a8a91151dd2f9db15,Fri Nov 10 23:56:24 +0000 2023,1.72313E+18,"@jovan_ndeso @gibran_tweet Kene ketoke ora minat janji2 ne pak Wowo plus bocil kuwi, Pertarungan sengit Bpk Ganjar karo bpk Anies, Cak... 🤭🤔",0,1,0,0,in,2935683132,1.72293E+18,megantari_jogja,https://twitter.com/megantari_jogja/status/1723127497179734199,,,,,"['ndeso', 'tweet', 'kene', 'ketoke', 'ora', 'minat', 'janji', 'wowo', 'plus', 'bocil', 'kuwi', 'pertarungan', 'sengit', 'bpk', 'ganjar', 'karo', 'bpk', 'anies', 'cak']",Negatif
663fa40a8a91151dd2f9db16,Fri Nov 10 23:56:07 +0000 2023,1.72313E+18,"@msaid_didu @aniesbaswedan @cakimiNOW Caleg dari Partai pendukung seharusnya diwajibkan mencantumkan nama dan foto Pak Anies jg dunk.  Partai pendukung jg seharusnya rangkul relawan, biar bs jadi saksi jg utk para caleg",0,0,0,0,in,251012938,1.72217E+18,saya_rya,https://twitter.com/saya_rya/status/1723127425574514823,,,,,"['didu', 'caleg', 'partai', 'pendukung', 'diwajibkan', 'mencantumkan', 'nama-nama', 'foto-foto', 'anies', 'partai', 'pendukung', 'rangkul', 'relawan', 'saksi', 'caleg']",Negatif
663fa40a8a91151dd2f9db17,Fri Nov 10 23:55:42 +0000 2023,1.72313E+18,@arsal_estrada @tvOneNews Mkin yang kasih makan si anies Kan banyak uang dari kelebihan bayar..,0,0,0,0,in,1.60383E+18,1.72245E+18,antikadrun65,https://twitter.com/antikadrun65/status/1723127323866841182,,,,,"['estrada', 'kasih', 'makan', 'anies', 'uang', 'kelebihan', 'bayar']",Negatif
663fa40a8a91151dd2f9db18,Fri Nov 10 23:55:40 +0000 2023,1.72313E+18,"@gibran_tweet Pak Anies dan Cak Imin, inspirator kebaikan untuk Indonesia. Semoga langkahnya selalu diberkahi. 🌟💪",0,0,0,0,in,8.83661E+17,1.72293E+18,koponng,https://twitter.com/koponng/status/1723127315952267539,,,,,"['tweet', 'anies', 'cak', 'imin', 'inspirator', 'kebaikan', 'indonesia', 'semoga', 'langkahnya', 'diberkahi']",Positif
663fa40a8a91151dd2f9db19,Fri Nov 10 23:55:26 +0000 2023,1.72313E+18,@gibran_tweet Keberkahan dan kejayaan mengikuti langkah Pak Anies dan Cak Imin. Semoga Indonesia selalu bersinar! 🇮🇩💙,0,0,0,0,in,7.91447E+17,1.72293E+18,wyolves,https://twitter.com/wyolves/status/1723127253352251807,,,,,"['tweet', 'keberkahan', 'kejayaan', 'mengikuti', 'langkah', 'anies', 'cak', 'imin', 'semoga', 'indonesia', 'bersinar']",Positif
