conversation_id_str,created_at,favorite_count,full_text,id_str,lang,probability,quote_count,reply_count,retweet_count,topic,tweet_url,user_id_str,username,context,processed,predicted_label,predicted_probability
1.72242E+18,Fri Nov 10 23:49:21 +0000 2023,0,"@M45Broo Gpp halu dulu 🤣 noh manusia uban datang ke Medan tidak seramai Anies datang ke Medan, samperin sono kasian ga ada massanya, di sosmed juga massanya buzzer bayaran 🤣",1.72313E+18,in,0.97057265,0,0,0,3,https://twitter.com/nusa_talk/status/1723125723156947294,1.5717E+18,nusa_talk,"Anies dianggap berhasil dalam menangani banjir di Jakarta, namun masih banyak yang meragukan kemampuannya dalam menangani masalah lainnya.<br/>",enggak apa-apa halu noh manusia uban medan tidak_serama anies medan samper sono kasihan tidak_massa sosmed massa buzzer bayar,Negatif,[0.9999998]
1.72311E+18,Fri Nov 10 23:39:41 +0000 2023,1,@MinmonPS7 Terus anies harus berpasangan dgn siapa? AHY ? Secara disini ada PT20% ....,1.72312E+18,in,0.93176955,0,2,0,0,https://twitter.com/tanz_77/status/1723123292335431687,187094886,tanz_77,,anies pasang ahy pt,Positif,[0.94578665]
1.72297E+18,Fri Nov 10 23:37:43 +0000 2023,0,@Tan_Mar3M Jni pertanyaan jebakan.....klu berpengalam jadi capres yg prabowo 4 X dengan tahun ini....klu yg patut dan pantas jadi presiden ya Anies,1.72312E+18,in,0.9614479,0,0,0,2,https://twitter.com/BumiOfai/status/1723122796518334479,1.71077E+18,BumiOfai,Tidak semua masyarakat setuju dengan kebijakan Anies terkait pembatasan kendaraan pribadi di Jakarta.<br/>,marm jni jebakanklu alam capres prabowo tahun-tahun iniklu patut presiden iya anies,Negatif,[0.86555064]
1.72289E+18,Fri Nov 10 23:34:36 +0000 2023,0,@tempodotco Pak Anies Baswedan mengajarkan kita arti sejati dari semangat dan keberanian pantang menyerah!!,1.72312E+18,in,0.94221425,0,0,0,2,https://twitter.com/koponng/status/1723122011566923957,8.83661E+17,koponng,Tidak semua masyarakat setuju dengan kebijakan Anies terkait pembatasan kendaraan pribadi di Jakarta.<br/>,anies baswedan ajar arti sejat semangat berani pantang serah,Positif,[0.96863985]
1.72289E+18,Fri Nov 10 23:31:02 +0000 2023,0,"@tempodotco @mengenyam AMIN mungkin meraih hasil survei terendah, tapi semangat Pak Anies Baswedan untuk terus bekerja keras dan berkontribusi positif sungguh luar biasa. Salut! 👏🌆",1.72312E+18,in,0.9638936,0,0,0,1,https://twitter.com/sebeelum/status/1723121115512664185,8.86925E+17,sebeelum,"Anies mendapat dukungan dari Ganjar Pranowo dalam pilkada DKI Jakarta, namun survei menunjukkan bahwa popularitasnya menurun.<br/>",amin raih hasil survei rendah semangat anies baswed kerja keras kontribusi positif sungguh salut,Positif,[0.9988811]
1.72293E+18,Fri Nov 10 23:26:15 +0000 2023,0,@gibran_tweet makin yakin dukung pak anies dan cak imin kalo ngeliat kaya gini,1.72312E+18,in,0.730355,0,0,0,4,https://twitter.com/4cacaaa_/status/1723119910610743714,1.72289E+18,4cacaaa_,"Prabowo Subianto memberikan dukungan untuk Anies dalam pilkada DKI Jakarta, namun hal ini menuai kontroversi di kalangan masyarakat.<br/>",tweet dukung anies cak imin lihat kayak,Positif,[0.8819287]
1.72311E+18,Fri Nov 10 23:20:02 +0000 2023,0,"@MinmonPS7 Setuju klo anies emang rada kesandera kontrak politik,seandai'a kmrn ngambil dr ahy, msh oke bgt...ini opini sy sih   Ps gibran or gp mpud...cm ngambil tongkat estafet dr jokowi...so so yesterday lah...out of date 🙏✌",1.72312E+18,in,0.97557455,0,0,0,4,https://twitter.com/lita_hartoyo/status/1723118346454053109,99642858,lita_hartoyo,"Prabowo Subianto memberikan dukungan untuk Anies dalam pilkada DKI Jakarta, namun hal ini menuai kontroversi di kalangan masyarakat.<br/>",tuju anies rada sandera kontrak politikseandaia kemarin ambil ahy oke bgtini opini pas gibran orang gp mpudcm ambil tongkat estafet jokowiso sok yesterday lahout of date,Negatif,[0.9996641]
1.72293E+18,Fri Nov 10 23:18:56 +0000 2023,0,@gibran_tweet Menyongsong Indonesia emas bersama pak Anies😋,1.72312E+18,in,0.88452566,0,0,0,2,https://twitter.com/cacawpoo/status/1723118071613960471,1.70618E+18,cacawpoo,Tidak semua masyarakat setuju dengan kebijakan Anies terkait pembatasan kendaraan pribadi di Jakarta.<br/>,tweet songsong indonesia emas anies,Positif,[0.98702383]
1.72312E+18,Fri Nov 10 23:17:32 +0000 2023,2,"Di Pilkada Jkt 2017, Anies sengaja membiarkan para pendukungnya bermain politik identitas agama, demi mendegradasi lawan &amp  mendapat keuntungan suara pribadi  Kita sbg pendukung Anies gak perlu denial atas dosa Anies ini, akuilah &amp  ikhlas menerima konsekuensi kalah di Pilpres 2024",1.72312E+18,in,0.9786176,0,2,1,0,https://twitter.com/MelodiAsyik/status/1723117719065862391,1.62107E+18,MelodiAsyik,,pilkada jakarta anies sengaja dukung main politik identitas agama degradasi lawan untung suara pribadi dukung anies tidak_denial dosa anies akuilah ikhlas terima konsekuensi kalah pilpres,Negatif,[0.9975007]
1.72296E+18,Fri Nov 10 23:08:23 +0000 2023,0,@vbro_w @ch_chotimah2 @ganjarpranowo @mohmahfudmd Ga bisa bang rakyt masih suka sama yg bagi2 .. Anies terlalu bagus dari segi semuanya,1.72312E+18,in,0.9490905,0,0,0,2,https://twitter.com/adeaahmad_a/status/1723115413092106594,9.9583E+17,adeaahmad_a,Tidak semua masyarakat setuju dengan kebijakan Anies terkait pembatasan kendaraan pribadi di Jakarta.<br/>,chotimah tidak_bang rakyt suka anies bagus segi,Positif,[0.9818358]
